id	product_url	title	description	image_url	price	currency	condition
12	http://www.pnpdance.com/hotfix-rhinestones/4mm-16ss-/100-4mm-sapphire-hotfix-rhinestones/prod_12.html	100 4mm Sapphire Hotfix Rhinestones	<div class=""SPText""><div class=""SPText""><div class=""SPText""><p><b>4mm Sapphire flat back acrylic hotfix rhinestone.&nbsp; These  rhinestones  are ideal for jazzing up any dance outfit or  anything you  like, they  can be glued or ironed onto fabric.<br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_sapphire_hotfix.jpg	1.50	GBP	new
11	http://www.pnpdance.com/hotfix-rhinestones/4mm-16ss-/100-4mm-siam-ruby-hotfix-rhinestones/prod_11.html	100 4mm Siam Ruby Hotfix Rhinestones	<div class=""SPText""><div class=""SPText""><div class=""SPText""><p><b>4mm Siam Ruby&nbsp; flat back acrylic hotfix rhinestone.&nbsp; These  rhinestones  are ideal for jazzing up any dance outfit or  anything you  like, they  can be glued or ironed onto fabric.<br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_siam_ruby_hotfix.jpg	1.50	GBP	new
7	http://www.pnpdance.com/silverback-rhinestones/4mm-ab-16ss-/100-4mm-violet-ab-silverback-rhinestones/crystals/prod_7.html	100 4mm Violet AB Silverback Rhinestones/Crystals	<div class=""SPText""><div class=""SPText""><p><b>4mm Violet AB flat back acrylic rhinestone, silver  backed.&nbsp; These  rhinestones are ideal for jazzing up any dance outfit or  anything you  like!&nbsp; <br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_purple_AB.jpg	1.50	GBP	new
26	http://www.pnpdance.com/dance-wear/disco-freestyle-dance-costume-accessories/prod_26.html	Disco Freestyle Dance Costume Accessories	<p>&nbsp;Tassled Belt Wrist bands Ankle bands Double Headband and Chocker please select colour and age when ordering from selections below</p><div>&nbsp;</div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/DanceWear-31.jpg	25.00	GBP	new
27	http://www.pnpdance.com/dance-wear/disco-freestyle-dance-costume-accessories/prod_27.html	Disco Freestyle Dance Costume Accessories	<p>&nbsp;Belt Wrist bands and Chocker Available in many colours and sizes, please choose from the list below when ordering</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/DanceWear-32.jpg	25.00	GBP	new
18	http://www.pnpdance.com/dance-wear/pnp-lycra-catsuit-with-long-sleeves/prod_18.html	PnP Lycra Catsuit with Long Sleeves	<p>&nbsp;Princess n Pickle Lycra cat suit with long arms, keyhole back and halter neck made from high quality Funki Fabirc lycra, comes complete with matching drawstring accessory bag and scrunchie</p><p style=""margin-top: 5px; margin-right: 5px; margin-bottom: 5px; margin-left: 5px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; outline-width: 0px; outline-style: initial; outline-color: initial; font-family: &#39;Lucida Sans&#39;, &#39;Lucida Sans Unicode&#39;, &#39;Lucida Grande&#39;; vertical-align: baseline; color: rgb(102, 51, 102); line-height: 14px; text-align: left; "">Available in various colours and sizes</p><p style=""margin-top: 5px; margin-right: 5px; margin-bottom: 5px; margin-left: 5px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; outline-width: 0px; outline-style: initial; outline-color: initial; font-family: &#39;Lucida Sans&#39;, &#39;Lucida Sans Unicode&#39;, &#39;Lucida Grande&#39;; vertical-align: baseline; color: rgb(102, 51, 102); line-height: 14px; text-align: left; ""><a onclick=""window.open(this.href,&#39;&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.html"">Please see the size chart for acurate sizing</a></p><div>&nbsp;</div><p style=""margin-top: 5px; margin-right: 5px; margin-bottom: 5px; margin-left: 5px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; outline-width: 0px; outline-style: initial; outline-color: initial; font-family: &#39;Lucida Sans&#39;, &#39;Lucida Sans Unicode&#39;, &#39;Lucida Grande&#39;; vertical-align: baseline; color: rgb(102, 51, 102); line-height: 14px; text-align: left; "">&nbsp;</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/pnpLycra-4.jpg	17.49	GBP	new
17	http://www.pnpdance.com/dance-wear/pnp-lycra-catsuit-with-short-puffed-sleeves/prod_17.html	PnP Lycra Catsuit with Short Puffed Sleeves	<p>Princess n Pickle Lycra cat suit with short arms and puffed sleeves made from high quality Funki Fabirc lycra, comes complete with matching drawstring accessory bag and scrunchie</p><p>Available in various colours and sizes</p><p><a onclick=""window.open(this.href,&#39;DanceWearSizeGuide&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.html"">Please see the size chart for acurate sizing</a></p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/pnpLycra-1.jpg	17.49	GBP	new
19	http://www.pnpdance.com/dance-wear/pnp-lycra-crop-top-with-short-puff-sleeves/prod_19.html	PnP Lycra Crop Top With Short Puff Sleeves	<p>&nbsp;Princess n Pickle Lycra crop top with short arms and puffed sleeves made from high quality Funki Fabirc lycra</p><p>Available in various colours and sizes</p><p><a onclick=""window.open(this.href,&#39;&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.html"">Please see the size chart for accurate sizing</a></p><div>&nbsp;</div><p style=""margin-top: 5px; margin-right: 5px; margin-bottom: 5px; margin-left: 5px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; outline-width: 0px; outline-style: initial; outline-color: initial; font-family: &#39;Lucida Sans&#39;, &#39;Lucida Sans Unicode&#39;, &#39;Lucida Grande&#39;; vertical-align: baseline; color: rgb(102, 51, 102); line-height: 14px; text-align: left; "">&nbsp;</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/pnpLycra-7.jpg	10.99	GBP	new
22	http://www.pnpdance.com/dance-wear/pnp-lycra-halter-neck-tie-top/prod_22.html	PnP Lycra Halter Neck Tie Top	<p>&nbsp;Princess n Pickle Lycra halter neck tie top made from high quality Funki Fabirc lycra</p><p>Available in various colours and sizes</p><p><a href=""http://www.pnpdance.com/sizes.html"">Please see the size chart for accurate sizing</a></p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/pnpLycra-16.jpg	10.99	GBP	new
21	http://www.pnpdance.com/dance-wear/pnp-lycra-leggings/prod_21.html	PnP Lycra Leggings	<p>&nbsp;Princess n Pickle Lycra leggings made from high quality Funki Fabirc lycra</p><p>Available in various colours and sizes</p><p><a onclick=""window.open(this.href,&#39;&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.com"">Please see the size chart for accurate sizing</a></p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/pnpLycra-9.jpg	9.99	GBP	new
20	http://www.pnpdance.com/dance-wear/pnp-lycra-shorts/prod_20.html	PnP Lycra Shorts	<p>&nbsp;Princess n Pickle Lycra shorts made from high quality Funki Fabirc lycra</p><p>Available in various colours and sizes</p><p><a onclick=""window.open(this.href,&#39;&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.html"">Please see the size chart for accurate sizing</a></p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/pnpLycra-11.jpg	7.99	GBP	new
28	http://www.pnpdance.com/dance-wear/pnp-lycra-unitard/prod_28.html	PnP Lycra Unitard	<p>&nbsp;Princess n Pickle Lycra unitard with long arms and high collar with large keyhole back, made from high quality Funki Fabirc lycra, comes complete with matching drawstring accessory bag and scrunchie</p><p>(Product Shown is &pound;25 as the Lycra is special print)</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/Dancewear-26.jpg	17.49	GBP	new
24	http://www.pnpdance.com/dance-wear/puffed-sleeved-unitard/prod_24.html	Puffed sleeved unitard	<p class=""p1"">Princess n Pickle Lycra unitard with short arms and puffed sleeves made from high quality Funki Fabirc lycra, comes complete with matching drawstring accessory bag and scrunchie</p><p class=""p1"">Available in various colours and sizes</p><p class=""p1""><a onclick=""window.open(this.href,&#39;&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.html"">Please see the size chart for acurate sizing</a></p><p class=""p2"">&nbsp;</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/Dancewear-19.jpg	17.49	GBP	new
25	http://www.pnpdance.com/rock-39-n-39-roll-outfits/rock-39-n-39-roll-outfit/prod_25.html	Rock &#39;n&#39; Roll Outfit	<p>&nbsp;Rock &#39;n&#39; Roll Costume complete with stoned accessories. &nbsp;Available in a range of colours of Lycra and netting.</p><p>&nbsp;</p><p>***** These items are made to order please specify colour and netting colour as well as size *****</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/Dancewear-11.jpg	54.99	GBP	new
23	http://www.pnpdance.com/rock-39-n-39-roll-outfits/rock-39-n-39-roll-skirt/prod_23.html	Rock &#39;n&#39; Roll Skirt	<p>&nbsp;&nbsp;Pink rock and roll dance skirt in various colours, with a choice of different coloured netting</p><div style=""padding-top: 5px; padding-right: 5px; padding-bottom: 5px; padding-left: 5px; margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; ""><p>This skirt can be bought with a puffed sleve top and also accessories to make a complete dance outfit in different colours. &nbsp;</p><p>&nbsp;</p><p>***** These items are made to order please specify colour and netting colour as well as size *****</p><p>&nbsp;</p><p><a onclick=""window.open(this.href,&#39;&#39;,&#39;resizable=yes,location=no,menubar=no,scrollbars=yes,status=no,toolbar=no,fullscreen=no,dependent=no,width=400,height=400,status&#39;); return false"" href=""http://www.pnpdance.com/sizes.html"">Please check the size guide for accurate sizing</a></p></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/DanceWear-30.jpg	19.99	GBP	new
29	http://www.pnpdance.com/brand-new-blinged-costumes/sold-green-butterfly-costume/prod_29.html	SOLD - Green Butterfly Costume	<p><p>&nbsp;A beautifully green Swarovski stoned freestyle disco solo costume, made to measure, looks stunning on the dance floor. &nbsp;</p><p>&nbsp;</p><p>*Please note the blue costume was only stoned by PnP Dance</p></p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/ComingSoon-1.jpg	0.00	GBP	new
31	http://www.pnpdance.com/brand-new-blinged-costumes/sold-peach-and-white-slow-costume/prod_31.html	SOLD - Peach and White Slow Costume	<p>&nbsp;A beautiful peach and white slow costum, this has been stoned with Pink AB rhinestones. &nbsp;Looks stunning on the dance floor and has a great &quot;cute&quot; factor</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/ComingSoon-2.jpg	0.00	GBP	new
33	http://www.pnpdance.com/brand-new-blinged-costumes/sold-red-and-white-spotted-rock-n-roll-dresses/prod_33.html	SOLD - Red and White Spotted Rock n Roll Dresses	<p>&nbsp;2 stunning swarovski stoned red and white spotted rock n roll dresses, the underskirts have red netting and are trimmed with white ribbon. &nbsp;comes with 1 swarovski stoned neck and head piece. &nbsp;Stands out on the dance floor and the skirts are very bouncy</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/ComingSoon-4.jpg	0.00	GBP	new
32	http://www.pnpdance.com/brand-new-blinged-costumes/sold-white-solo-slow-costume/prod_32.html	SOLD - White Solo Slow Costume	<p>&nbsp;A Beautiful white Swarovski stoned slow solo costume looks beautiful on the dance floor and stands out from the crowd, comes with 2 ankle peices, one with butterfly and 2 wrist bands both with floating chiffon and one with a butterfly. &nbsp;Comes with matching hair accessory, swarovski stoned to wrap around a bun.</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/Lycra/DanceWear/ComingSoon-3.jpg	0.00	GBP	new
